Field_001	Motor_001	Timestamp_001	Sample1_X_001	Sample1_Y_001	Sample2_X_001	Sample2_Y_001	Sample_T_001
3.499963971E+1	3.648015000E+3	5.155195500E-2	7.812103140E-4	6.033995305E-4	1.458233804E-3	4.612214398E-3	1.762600000E+0
3.499962168E+1	3.648015000E+3	8.941987000E-2	7.809142116E-4	6.035239785E-4	1.458358020E-3	4.612473771E-3	1.762600000E+0
3.499962168E+1	3.648015000E+3	1.205735150E-1	7.806683425E-4	6.036170526E-4	1.458394341E-3	4.612674471E-3	1.762700000E+0
3.499963070E+1	3.648015000E+3	1.533209930E-1	7.804050110E-4	6.037030253E-4	1.458305283E-3	4.612817429E-3	1.762700000E+0
3.499963070E+1	3.648015000E+3	1.903638000E-1	7.801898173E-4	6.037593121E-4	1.458063372E-3	4.612876568E-3	1.762700000E+0
3.499962168E+1	3.648015000E+3	2.240136340E-1	7.800249150E-4	6.037892308E-4	1.457669423E-3	4.612858407E-3	1.762700000E+0
3.499962168E+1	3.648015000E+3	2.603163800E-1	7.799008163E-4	6.037983112E-4	1.457110164E-3	4.612780176E-3	1.762700000E+0
3.499962168E+1	3.648015000E+3	2.950223560E-1	7.798324805E-4	6.037883577E-4	1.456433325E-3	4.612645134E-3	1.762700000E+0
3.499962168E+1	3.648015000E+3	3.449408580E-1	7.798406295E-4	6.037521525E-4	1.455011661E-3	4.612307530E-3	1.762700000E+0
3.499962168E+1	3.648015000E+3	3.835707510E-1	7.799294544E-4	6.037203129E-4	1.453927136E-3	4.612029064E-3	1.762700000E+0
3.499961267E+1	3.648015000E+3	4.179484440E-1	7.800803287E-4	6.036944687E-4	1.452802098E-3	4.611705896E-3	1.762700000E+0
3.499961267E+1	3.648015000E+3	4.517944370E-1	7.802779437E-4	6.036812556E-4	1.451632357E-3	4.611355718E-3	1.762700000E+0
3.499961267E+1	3.648015000E+3	4.854605220E-1	7.805351634E-4	6.036844570E-4	1.450352604E-3	4.610973410E-3	1.762700000E+0
3.499961267E+1	3.648015000E+3	5.178210170E-1	7.808606606E-4	6.037115818E-4	1.448876108E-3	4.610546865E-3	1.762700000E+0
3.499961267E+1	3.648015000E+3	5.576364640E-1	7.812850526E-4	6.037759012E-4	1.446928596E-3	4.610060714E-3	1.762700000E+0
3.499961267E+1	3.648015000E+3	6.021385690E-1	7.818072918E-4	6.038897554E-4	1.445501693E-3	4.609756172E-3	1.762700000E+0
3.499962168E+1	3.648015000E+3	6.466938800E-1	7.824166096E-4	6.040605367E-4	1.443477580E-3	4.609427415E-3	1.762700000E+0
