Field_001	Motor_001	Timestamp_001	Sample1_X_001	Sample1_Y_001	Sample2_X_001	Sample2_Y_001	Sample_T_001
3.499965774E+1	4.559985000E+3	5.578862000E-2	-4.103059182E-4	-2.123617334E-3	1.719734515E-3	4.597262014E-3	1.776900000E+0
3.499965774E+1	4.559985000E+3	1.023159070E-1	-4.068604612E-4	-2.118841745E-3	1.719495631E-3	4.597334657E-3	1.776800000E+0
3.499966676E+1	4.559985000E+3	1.499537950E-1	-4.033321166E-4	-2.113622846E-3	1.719182706E-3	4.597446416E-3	1.776800000E+0
3.499967577E+1	4.559985000E+3	1.894363430E-1	-4.011095152E-4	-2.110095462E-3	1.719012274E-3	4.597516265E-3	1.776800000E+0
3.499967577E+1	4.559985000E+3	2.218779910E-1	-3.993082500E-4	-2.107030014E-3	1.718838816E-3	4.597617779E-3	1.776800000E+0
3.499968478E+1	4.559985000E+3	2.580804650E-1	-3.975351865E-4	-2.103719395E-3	1.718701213E-3	4.597714637E-3	1.776800000E+0
3.499967577E+1	4.559985000E+3	2.914709590E-1	-3.961354960E-4	-2.100717975E-3	1.718599116E-3	4.597805906E-3	1.776800000E+0
3.499967577E+1	4.559985000E+3	3.278057130E-1	-3.952141269E-4	-2.098301426E-3	1.718543470E-3	4.597892053E-3	1.776800000E+0
3.499967577E+1	4.559985000E+3	3.615398410E-1	-3.946249781E-4	-2.096131444E-3	1.718529151E-3	4.597957712E-3	1.776800000E+0
3.499966676E+1	4.559985000E+3	3.994497160E-1	-3.944209602E-4	-2.094357973E-3	1.718576765E-3	4.597993568E-3	1.776800000E+0
3.499965774E+1	4.559985000E+3	4.497575960E-1	-3.947549558E-4	-2.092537936E-3	1.718692714E-3	4.598013125E-3	1.776800000E+0
3.499964873E+1	4.559985000E+3	4.849869650E-1	-3.954335116E-4	-2.091690898E-3	1.718774205E-3	4.598005209E-3	1.776800000E+0
3.499964873E+1	4.559985000E+3	5.192216320E-1	-3.962203627E-4	-2.091307426E-3	1.718841726E-3	4.598001484E-3	1.776800000E+0
