Field_001	Motor_001	Timestamp_001	Sample1_X_001	Sample1_Y_001	Sample2_X_001	Sample2_Y_001	Sample_T_001
3.499969380E+1	4.104000000E+3	1.544645970E+0	6.002992741E-4	-1.094959327E-3	1.279894030E-3	4.627878778E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.583125476E+0	6.009038771E-4	-1.094491105E-3	1.279896358E-3	4.628315568E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.624527573E+0	6.015694235E-4	-1.093824394E-3	1.279830001E-3	4.628669936E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.659307148E+0	6.023186725E-4	-1.092934981E-3	1.279682619E-3	4.629036412E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.704236021E+0	6.033231039E-4	-1.091551385E-3	1.279403805E-3	4.629477859E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.741009019E+0	6.041920278E-4	-1.090188744E-3	1.279127318E-3	4.629857838E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.777671339E+0	6.051359233E-4	-1.088525052E-3	1.278787036E-3	4.630304873E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.819163317E+0	6.060095620E-4	-1.086789300E-3	1.278524520E-3	4.630689044E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.851079435E+0	6.068090443E-4	-1.084993244E-3	1.278256299E-3	4.631165881E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.904717410E+0	6.078568986E-4	-1.082211151E-3	1.277995412E-3	4.631759599E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.942152331E+0	6.085501518E-4	-1.079939306E-3	1.277890173E-3	4.632113036E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.976149555E+0	6.090313545E-4	-1.077991910E-3	1.277807867E-3	4.632482305E-3	1.772000000E+0
3.499971183E+1	4.104000000E+3	2.013034474E+0	6.094631390E-4	-1.075714477E-3	1.277784700E-3	4.632769618E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	2.049998077E+0	6.097510341E-4	-1.073468942E-3	1.277799718E-3	4.633000586E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	2.084429258E+0	6.098942249E-4	-1.071424806E-3	1.277861418E-3	4.633231088E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	2.125060363E+0	6.099148304E-4	-1.068855519E-3	1.277984236E-3	4.633401055E-3	1.772000000E+0
3.499968478E+1	4.104000000E+3	2.161839294E+0	6.098022568E-4	-1.066765631E-3	1.278169919E-3	4.633539822E-3	1.772100000E+0
3.499968478E+1	4.104000000E+3	2.204983415E+0	6.095248973E-4	-1.064296579E-3	1.278450363E-3	4.633639939E-3	1.772100000E+0
3.499969380E+1	4.104000000E+3	2.238888722E+0	6.092118565E-4	-1.062404248E-3	1.278753392E-3	4.633711185E-3	1.772100000E+0
3.499968478E+1	4.104000000E+3	2.272289397E+0	6.088408409E-4	-1.060610637E-3	1.279087155E-3	4.633773118E-3	1.772100000E+0
3.499969380E+1	4.104000000E+3	2.305803017E+0	6.083869957E-4	-1.058746129E-3	1.279519755E-3	4.633831326E-3	1.772100000E+0
3.499969380E+1	4.104000000E+3	2.342000110E+0	6.078952574E-4	-1.056952169E-3	1.279963064E-3	4.633887205E-3	1.772100000E+0
3.499969380E+1	4.104000000E+3	2.375894671E+0	6.073859986E-4	-1.055232831E-3	1.280490775E-3	4.633942153E-3	1.772100000E+0
3.499969380E+1	4.104000000E+3	2.412035100E+0	6.068795919E-4	-1.053591492E-3	1.281048520E-3	4.633991048E-3	1.772100000E+0
3.499971183E+1	4.104000000E+3	2.448342902E+0	6.063958281E-4	-1.052030828E-3	1.281675650E-3	4.634050187E-3	1.772100000E+0
3.499971183E+1	4.104000000E+3	2.483485991E+0	6.059341831E-4	-1.050486346E-3	1.282281359E-3	4.634097219E-3	1.772100000E+0
3.499971183E+1	4.104000000E+3	2.518046570E+0	6.055694539E-4	-1.049159560E-3	1.282930491E-3	4.634147044E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	2.549404983E+0	6.052908720E-4	-1.047998783E-3	1.283596386E-3	4.634208977E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	2.586268845E+0	6.050475058E-4	-1.046710182E-3	1.284389873E-3	4.634282552E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	2.623302804E+0	6.049035001E-4	-1.045436948E-3	1.285294886E-3	4.634372890E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	2.662597019E+0	6.048862124E-4	-1.044335659E-3	1.286167884E-3	4.634471144E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	2.704633682E+0	6.050268421E-4	-1.043105964E-3	1.287252759E-3	4.634608980E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	2.741437523E+0	6.052969256E-4	-1.042130753E-3	1.288130297E-3	4.634769168E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	2.778982600E+0	6.056247512E-4	-1.041381736E-3	1.289004926E-3	4.634968936E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	2.817269323E+0	6.061599124E-4	-1.040518982E-3	1.289884676E-3	4.635217600E-3	1.772100000E+0
3.499973887E+1	4.104000000E+3	2.857210889E+0	6.067660870E-4	-1.039788360E-3	1.290655811E-3	4.635481630E-3	1.772100000E+0
3.499973887E+1	4.104000000E+3	2.904951575E+0	6.076843711E-4	-1.038925839E-3	1.291707857E-3	4.635893274E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	2.941896216E+0	6.084927591E-4	-1.038299990E-3	1.292428817E-3	4.636229481E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	2.978889645E+0	6.093459087E-4	-1.037718728E-3	1.293094480E-3	4.636583384E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.017975391E+0	6.103471969E-4	-1.037100097E-3	1.293810783E-3	4.637065809E-3	1.772100000E+0
3.499972084E+1	4.104000000E+3	3.063368471E+0	6.113840500E-4	-1.036503119E-3	1.294209505E-3	4.637436941E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	3.104597787E+0	6.124989013E-4	-1.035886933E-3	1.294643851E-3	4.638025537E-3	1.772100000E+0
3.499972986E+1	4.104000000E+3	3.145119457E+0	6.134824944E-4	-1.035351772E-3	1.294860500E-3	4.638554528E-3	1.772100000E+0
3.499973887E+1	4.104000000E+3	3.181453738E+0	6.144660874E-4	-1.034814864E-3	1.294957358E-3	4.639083054E-3	1.772100000E+0
3.499973887E+1	4.104000000E+3	3.220211890E+0	6.154148723E-4	-1.034288667E-3	1.294947928E-3	4.639621824E-3	1.772100000E+0
3.499974789E+1	4.104000000E+3	3.257253815E+0	6.162070786E-4	-1.033838605E-3	1.294814865E-3	4.640162922E-3	1.772100000E+0
3.499974789E+1	4.104000000E+3	3.304805303E+0	6.172641879E-4	-1.033216598E-3	1.294498565E-3	4.640809260E-3	1.772100000E+0
3.499975690E+1	4.104000000E+3	3.342430436E+0	6.179601187E-4	-1.032790285E-3	1.294145593E-3	4.641263746E-3	1.772100000E+0
3.499975690E+1	4.104000000E+3	3.380276654E+0	6.186700775E-4	-1.032336848E-3	1.293683774E-3	4.641658161E-3	1.772100000E+0
3.499975690E+1	4.104000000E+3	3.417364064E+0	6.192922010E-4	-1.031919848E-3	1.293068752E-3	4.642011598E-3	1.772100000E+0
