Field_	Motor_	Timestamp_	Sample1_X_	Sample1_Y_	Sample2_X_	Sample2_Y_	Sample_T_
3.499986507E+1	0.000000000E+0	1.602783969E+0	9.660995565E-4	1.586406608E-3	1.522708335E-3	1.868759748E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	1.664612441E+0	9.669670253E-4	1.586469705E-3	1.522530685E-3	1.869002939E-3	1.755800000E+0
3.499986507E+1	0.000000000E+0	1.725749070E+0	9.678507340E-4	1.586379018E-3	1.522363978E-3	1.869072556E-3	1.755800000E+0
3.499986507E+1	0.000000000E+0	1.764399179E+0	9.683414246E-4	1.586254221E-3	1.522240811E-3	1.869024010E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	1.802850193E+0	9.687448037E-4	1.586099621E-3	1.522124396E-3	1.868942287E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	1.847665405E+0	9.691320010E-4	1.585885300E-3	1.521972823E-3	1.868813648E-3	1.755800000E+0
3.499986507E+1	0.000000000E+0	1.900551674E+0	9.694619221E-4	1.585591352E-3	1.521759550E-3	1.868593856E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	1.955454063E+0	9.695980698E-4	1.585284132E-3	1.521452330E-3	1.868270338E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.002019194E+0	9.695536573E-4	1.585103688E-3	1.521255472E-3	1.868064399E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.038878396E+0	9.694103501E-4	1.584966434E-3	1.521044760E-3	1.867868356E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.079452504E+0	9.691937012E-4	1.584876445E-3	1.520847785E-3	1.867696177E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	2.119028506E+0	9.688860737E-4	1.584825805E-3	1.520700753E-3	1.867596176E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.157361148E+0	9.684719844E-4	1.584824990E-3	1.520600868E-3	1.867538784E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.202156279E+0	9.680110961E-4	1.584877959E-3	1.520610414E-3	1.867563929E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	2.250747985E+0	9.674425819E-4	1.584995538E-3	1.520714140E-3	1.867627725E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.303227921E+0	9.668497369E-4	1.585163758E-3	1.520895283E-3	1.867737039E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	2.343973879E+0	9.663922247E-4	1.585319289E-3	1.521043479E-3	1.867845654E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	2.382555457E+0	9.660106734E-4	1.585463993E-3	1.521183061E-3	1.867975574E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	2.420744440E+0	9.655624162E-4	1.585648162E-3	1.521293540E-3	1.868166262E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	2.467876299E+0	9.652678273E-4	1.585775171E-3	1.521340455E-3	1.868332038E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	2.505402554E+0	9.650540305E-4	1.585867489E-3	1.521353144E-3	1.868527732E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	2.541734429E+0	9.648539126E-4	1.585949911E-3	1.521337195E-3	1.868713298E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	2.577199595E+0	9.646880208E-4	1.586006139E-3	1.521311817E-3	1.868953928E-3	1.755800000E+0
