Frequency (T),Intensities (arb. units)
0.0,6.37539980564398
2.1307610701655824,5.829188777696386
4.261522140331165,5.312938366823649
6.392283210496747,6.124750466000746
8.52304428066233,9.97388262060534
10.653805350827913,11.921363568512088
12.784566420993494,18.707941259889203
14.915327491159076,21.377039300346013
17.04608856132466,48.09213366741413
19.176849631490242,11.86971027144756
21.307610701655825,58.298083471272335
23.438371771821405,58.07488663309421
25.56913284198699,80.68991037494241
27.69989391215257,164.6116117742222
29.83065498231815,724.3073789558853
31.961416052483735,2264.929067441248
34.09217712264932,1174.9804776263513
36.2229381928149,987.4194498193872
38.353699262980484,744.0989809648134
40.48446033314607,383.14650455846424
42.61522140331165,233.67757097261853
44.74598247347723,220.10662290111188
46.87674354364281,294.5630696041582
49.00750461380839,312.9304266821822
51.13826568397398,317.52078864663076
53.26902675413956,358.8343920571019
55.39978782430514,834.2375341209531
57.530548894470726,707.9864026248691
59.6613099646363,1228.6700964444708
61.792071034801886,1183.0773980057909
63.92283210496747,3491.9156599273074
66.05359317513306,2016.653279757818
68.18435424529864,1576.3937564815
70.31511531546421,930.5841640296421
72.4458763856298,448.5691150143784
74.57663745579538,188.45365360511886
76.70739852596097,121.64000094089295
78.83815959612654,364.831985620885
80.96892066629214,229.6279359832996
83.09968173645771,321.765928406541
85.2304428066233,58.81283622151531
87.36120387678888,335.3316182112381
89.49196494695445,341.77889799987815
91.62272601712004,387.2878615600922
93.75348708728562,784.288850435228
95.88424815745121,1803.9849705501308
98.01500922761679,2015.5594757534784
100.14577029778238,1374.0290829093174
102.27653136794795,827.8111195871585
104.40729243811353,516.4841434205106
106.53805350827912,80.79183235734013
108.6688145784447,221.83796756558306
110.79957564861029,186.96320852521075
112.93033671877586,337.7646180450407
115.06109778894145,386.88377169513745
117.19185885910703,193.7669687074893
119.3226199292726,315.6869832793752
121.4533809994382,206.1438118833041
123.58414206960377,701.485082230112
125.71490313976936,77.97415831026271
127.84566420993494,748.3763252581748
129.97642528010053,1021.2583048415352
132.10718635026612,562.5919600126122
134.23794742043168,564.3326741461339
136.36870849059727,179.08517784102975
138.49946956076286,894.043843559627
140.63023063092842,1105.9211943036596
142.760991701094,572.325830594355
144.8917527712596,333.9528100200521
147.0225138414252,582.4383829639603
149.15327491159076,83.14218325497863
151.28403598175635,419.1229518968397
153.41479705192194,204.96834931705231
155.5455581220875,101.04024670677254
157.6763191922531,124.19694551239377
159.80708026241868,280.8318118917206
161.93784133258427,543.0201541142922
164.06860240274983,540.2626967153516
166.19936347291542,459.5898163299419
168.330124543081,213.1422871419802
170.4608856132466,66.78138440562681
172.59164668341216,192.512383131891
174.72240775357776,73.53144952641051
176.85316882374335,253.9452451611946
178.9839298939089,529.5951512511292
181.1146909640745,446.7158446564243
183.2454520342401,365.38496179360453
185.37621310440568,373.27189984223264
187.50697417457124,149.5951377083716
189.63773524473683,142.50269296850078
191.76849631490242,135.56827954965604
193.89925738506798,412.10988140926736
196.03001845523357,373.2621920492381
198.16077952539916,248.5972877836281
200.29154059556475,238.12807071538322
202.42230166573032,269.7097579644355
204.5530627358959,237.01889049916076
206.6838238060615,220.46820638560442
208.81458487622706,306.3550126656317
210.94534594639265,557.1096519822696
213.07610701655824,604.2536269259293
215.20686808672383,618.5584388414542
217.3376291568894,307.3212699610472
219.46839022705498,534.9038061633506
221.59915129722057,508.65453344583125
223.72991236738613,266.59591244417055
225.86067343755172,155.65922823996587
227.99143450771732,218.17062046002187
230.1221955778829,166.25791352732526
232.25295664804847,139.439168958419
234.38371771821406,110.13683835882948
236.51447878837965,265.2844441928395
238.6452398585452,437.3335271949988
240.7760009287108,503.04580333297
242.9067619988764,834.9441534050267
245.03752306904198,856.5811411047648
247.16828413920754,443.64541214266114
249.29904520937313,964.2565402202453
251.42980627953872,1359.7185476144082
253.5605673497043,1035.5680045780578
255.69132841986988,310.1862756993239
257.82208949003547,427.20302246218057
259.95285056020106,513.7783822198569
262.08361163036665,600.5505259409298
264.21437270053224,497.43340686283835
266.34513377069777,365.92551694903375
268.47589484086336,200.60985744835185
270.60665591102895,398.8584492410213
272.73741698119454,861.1603397297383
274.86817805136013,1246.849722890982
276.9989391215257,1247.2923061550755
279.1297001916913,1022.1938629038509
281.26046126185685,958.1760713477848
283.39122233202244,641.5893448070296
285.521983402188,450.6711905697219
287.6527444723536,330.167155729458
289.7835055425192,603.4762262695446
291.9142666126848,708.7852337087309
294.0450276828504,593.134753840955
296.1757887530159,523.0147117034517
298.3065498231815,632.6389287684349
300.4373108933471,484.32783603557976
302.5680719635127,366.70066440281664
304.6988330336783,230.9879664678474
306.8295941038439,187.07610551532596
308.96035517400946,346.80717025219377
311.091116244175,661.0452676190183
313.2218773143406,901.3709039911839
315.3526383845062,831.6708858098549
317.48339945467177,765.7830742862076
319.61416052483736,540.0270469039064
321.74492159500295,399.32296843790346
323.87568266516854,226.8486560638605
326.0064437353341,332.9085518623451
328.13720480549966,726.1104552148448
330.26796587566525,1092.2102495689735
332.39872694583084,1146.8715860231441
334.52948801599644,1032.1118504855592
336.660249086162,728.8117424945239
338.7910101563276,389.0559667776696
340.9217712264932,87.45519667774747
343.05253229665874,368.77410042107135
345.18329336682433,621.3342359893853
347.3140544369899,819.5615760449335
349.4448155071555,704.8095457680143
351.5755765773211,825.1399400978786
353.7063376474867,1068.1189945173758
355.8370987176523,1429.5814011443542
357.9678597878178,1433.4913271548191
360.0986208579834,2557.3298104883634
362.229381928149,5040.43050327278
364.3601429983146,7833.386578315784
366.4909040684802,9079.6232278563
368.62166513864577,7999.610621346459
370.75242620881136,5480.828592559421
372.8831872789769,3237.0286556043534
375.0139483491425,1872.9511017152843
377.14470941930807,1364.9413685785269
379.27547048947366,1641.8761696917047
381.40623155963925,1449.5160041772524
383.53699262980484,898.4364765889161
385.66775369997043,376.35534627607547
387.79851477013597,263.20476429620146
389.92927584030156,286.8357410731171
392.06003691046715,550.5448253914221
394.19079798063274,805.3594233392067
396.3215590507983,930.8665261628664
398.4523201209639,1051.6944963901344
400.5830811911295,1072.0141106379274
402.71384226129504,877.0074072338141
404.84460333146063,767.137835915778
406.9753644016262,568.6559568085456
409.1061254717918,850.0737470028425
411.2368865419574,987.891523288757
413.367647612123,1222.2641394090276
415.4984086822886,1936.0508502925768
417.6291697524541,2859.2914758072393
419.7599308226197,3512.282282734183
421.8906918927853,3598.7967913612733
424.0214529629509,3585.819054387107
426.1522140331165,3367.080114890407
428.28297510328207,2775.8639131553646
430.41373617344766,2109.763645230082
432.5444972436132,1368.8775717951125
434.6752583137788,1087.5829352466324
436.8060193839444,886.2554133048786
438.93678045410996,619.8191373601288
441.06754152427555,436.1561122275382
443.19830259444115,359.0295183864191
445.32906366460674,129.5789861680585
447.45982473477227,58.150278323463645
449.59058580493786,90.58791821180273
451.72134687510345,246.81035756999347
453.85210794526904,506.51888462297995
455.98286901543463,810.3429234856529
458.1136300856002,1121.7211602405023
460.2443911557658,1571.4544629536906
462.37515222593134,1572.9950897449287
464.50591329609694,1433.6722837740053
466.6366743662625,1032.1699598141552
468.7674354364281,655.8135975057413
470.8981965065937,534.7443274038947
473.0289575767593,386.8208050642648
475.1597186469249,304.49935289161135
477.2904797170904,60.71969597665742
479.421240787256,211.4505793879587
481.5520018574216,354.7908689577385
483.6827629275872,397.57613485198937
485.8135239977528,315.6388262299701
487.9442850679184,283.2027835059899
490.07504613808396,165.2650824568116
492.20580720824955,210.99980281428276
494.3365682784151,403.1357024697457
496.4673293485807,721.154270622228
498.59809041874627,1003.3282281626884
500.72885148891186,1363.2882438868987
502.85961255907745,1480.4379597326292
504.99037362924304,1599.8788710544388
507.1211346994086,1297.6961647586606
509.25189576957416,1177.3212758705272
511.38265683973975,937.5280411356337
513.5134179099053,843.0906126188208
515.6441789800709,618.0472421918167
517.7749400502365,551.0123817116266
519.9057011204021,469.128945900094
522.0364621905677,442.17510685268803
524.1672232607333,362.5419657503248
526.2979843308989,521.845213624499
528.4287454010645,655.7505945361723
530.55950647123,800.3803609385843
532.6902675413955,870.2810196627087
534.8210286115611,853.0122222706915
536.9517896817267,761.8396976962168
539.0825507518923,726.1264446412322
541.2133118220579,589.128439890243
543.3440728922235,545.873561639064
545.4748339623891,401.4744936700867
547.6055950325547,362.93692370432524
549.7363561027203,288.7775102420238
551.8671171728859,208.08030587591284
553.9978782430514,283.76770854709105
556.128639313217,241.1132155310817
558.2594003833826,321.2337742607187
560.3901614535482,479.1543268199688
562.5209225237137,522.2403451964465
564.6516835938793,441.0519751991571
566.7824446640449,310.45147206388714
568.9132057342105,240.64276547883844
571.043966804376,139.36060460919145
573.1747278745416,54.075350572066604
575.3054889447072,183.28097461145853
577.4362500148728,252.3960033017955
579.5670110850384,250.36054006177324
581.697772155204,245.6911336597853
583.8285332253696,244.7255017848413
585.9592942955352,395.97504935758593
588.0900553657008,461.563298902262
590.2208164358664,684.5471316660257
592.3515775060318,778.6875608020139
594.4823385761974,850.681776189553
596.613099646363,751.401142360258
598.7438607165286,746.3425910182208
600.8746217866942,525.60950790598
603.0053828568598,400.85200174300843
605.1361439270254,206.41937397812657
607.266904997191,142.79231047062675
609.3976660673566,151.62014249597772
611.5284271375222,272.7954905400599
613.6591882076877,319.63147195190095
615.7899492778533,271.0179064776513
617.9207103480189,233.29194769464357
620.0514714181845,283.44631359117744
622.18223248835,283.4744016823024
624.3129935585156,211.10188236007957
626.4437546286812,296.1050657114706
628.5745156988468,453.3343327101171
630.7052767690124,688.834235298171
632.836037839178,647.4744360466714
634.9667989093435,805.0405959978634
637.0975599795091,752.3019635564616
639.2283210496747,670.4070857449607
641.3590821198403,435.47740801920435
643.4898431900059,287.73327322754915
645.6206042601715,109.33531069187778
647.7513653303371,98.05169363792278
649.8821264005027,115.93702701192814
652.0128874706681,136.9636076893216
654.1436485408337,157.61287586644625
656.2744096109993,50.38547863508906
658.4051706811649,134.38368511659564
660.5359317513305,232.12122231900352
662.6666928214961,196.07525664761525
664.7974538916617,83.06080438323602
666.9282149618273,144.55440707121107
669.0589760319929,379.5686866348166
671.1897371021585,514.2460251582504
673.320498172324,534.8315231447632
675.4512592424896,450.0621375166061
677.5820203126552,306.82945236185446
679.7127813828208,124.72283189699061
681.8435424529864,128.92353472809177
683.9743035231519,155.82446364688468
686.1050645933175,188.070361190793
688.2358256634831,217.15410706208218
690.3665867336487,72.20311898757515
692.4973478038143,32.946648969015456
694.6281088739798,171.39448582258672
696.7588699441454,340.6410528731291
698.889631014311,452.11890847295496
701.0203920844766,546.6080127708827
703.1511531546422,585.7916403685704
705.2819142248078,471.4277180484077
707.4126752949734,447.8860819723346
709.543436365139,433.39382298528045
711.6741974353046,490.498757508548
713.80495850547,474.69940576092574
715.9357195756356,438.15713271296715
718.0664806458012,378.58784038970725
720.1972417159668,230.3827188914547
722.3280027861324,143.89153810990376
724.458763856298,111.12964094505998
726.5895249264636,403.1124760393952
728.7202859966292,706.9987618105092
730.8510470667948,886.8971391364215
732.9818081369604,984.45331231346
735.112569207126,1022.1631945072779
737.2433302772915,1017.7005748934987
739.3740913474571,1008.0089021280822
741.5048524176227,1088.1021370323276
743.6356134877882,1208.2614423164143
745.7663745579538,1182.6755252513162
747.8971356281194,1149.3234279356045
750.027896698285,1058.7632429502464
752.1586577684506,873.0768086270966
754.2894188386161,824.7225697884362
756.4201799087817,722.277304449288
758.5509409789473,527.2904962899103
760.6817020491129,210.89278553953437
762.8124631192785,152.19984360417914
764.9432241894441,121.05732788804177
767.0739852596097,230.80920138962594
769.2047463297753,257.83636603387305
771.3355073999409,356.8986187732931
773.4662684701063,389.04129185395027
775.5970295402719,407.14310144790466
777.7277906104375,412.4102059335922
779.8585516806031,365.16983081915646
781.9893127507687,371.50902146862956
784.1200738209343,223.9563033553352
786.2508348910999,172.84382848909948
788.3815959612655,184.2393841960318
790.5123570314311,238.8034329553534
792.6431181015967,279.4531715887184
794.7738791717622,423.2835798457948
796.9046402419278,448.0664535663458
