Frequency (T),Intensities (arb. units)
0.0,40.13323340094094
2.1307610701655824,43.728241977693656
4.261522140331165,42.92249083839529
6.392283210496747,39.99357901218266
8.52304428066233,36.34408472152453
10.653805350827913,30.38902612142939
12.784566420993494,7.774444155501611
14.915327491159076,21.84583951460853
17.04608856132466,74.86987826954278
19.176849631490242,14.796132182380937
21.307610701655825,118.68609889621838
23.438371771821405,104.91123605853727
25.56913284198699,149.8976079779355
27.69989391215257,154.0081316284944
29.83065498231815,105.82333464350744
31.961416052483735,301.755728303528
34.09217712264932,248.78776105559632
36.2229381928149,380.9744788695537
38.353699262980484,548.8904031303035
40.48446033314607,2466.965214333167
42.61522140331165,957.9241370369832
44.74598247347723,1242.987884643165
46.87674354364281,883.1064627778421
49.00750461380839,933.9413129417405
51.13826568397398,831.3567702042177
53.26902675413956,833.5778115217888
55.39978782430514,1150.9800455495433
57.530548894470726,889.198322119712
59.6613099646363,1085.6545082101761
61.792071034801886,633.6426488573278
63.92283210496747,609.8573521167557
66.05359317513306,436.8936899046665
68.18435424529864,590.8406742898225
70.31511531546421,129.1615069419963
72.4458763856298,229.70567668947166
74.57663745579538,298.1072162831065
76.70739852596097,333.11326564290306
78.83815959612654,774.7594904316528
80.96892066629214,730.5649220439349
83.09968173645771,529.6277151341251
85.2304428066233,789.0405854328518
87.36120387678888,871.5808373824859
89.49196494695445,169.45902531975335
91.62272601712004,278.5202534401996
93.75348708728562,823.8401956293894
95.88424815745121,172.2272287473129
98.01500922761679,424.5440994054373
100.14577029778238,95.71777662141352
102.27653136794795,295.0772922915267
104.40729243811353,319.54711162126694
106.53805350827912,664.8496412758204
108.6688145784447,553.8103533785016
110.79957564861029,438.21391072222417
112.93033671877586,169.5993996187767
115.06109778894145,405.546381230408
117.19185885910703,756.8326587786557
119.3226199292726,459.90957922254495
121.4533809994382,506.53162044102066
123.58414206960377,386.39241354346854
125.71490313976936,440.01878361985695
127.84566420993494,282.6779996708868
129.97642528010053,322.7799063211309
132.10718635026612,66.7450449723684
134.23794742043168,264.6042792253567
136.36870849059727,289.63850621693774
138.49946956076286,151.27113465006923
140.63023063092842,341.8117306933533
142.760991701094,183.28902780717831
144.8917527712596,345.6208358161507
147.0225138414252,276.3164084137877
149.15327491159076,424.55949543440767
151.28403598175635,1412.7700691829928
153.41479705192194,1257.543379907985
155.5455581220875,1240.0983212226924
157.6763191922531,825.5619855528877
159.80708026241868,246.96621518222574
161.93784133258427,275.3174019186455
164.06860240274983,535.2972086164544
166.19936347291542,270.3399722648576
168.330124543081,515.983591702055
170.4608856132466,333.59368932872815
172.59164668341216,456.46113587140474
174.72240775357776,146.26141619335127
176.85316882374335,788.5048171514195
178.9839298939089,206.2040303554075
181.1146909640745,356.02132207160093
183.2454520342401,272.8587524915314
185.37621310440568,468.1375132221336
187.50697417457124,200.7026013864159
189.63773524473683,387.35965797285337
191.76849631490242,164.48315526587177
193.89925738506798,232.36188782264753
196.03001845523357,386.1177023309891
198.16077952539916,284.42598429454137
200.29154059556475,382.144852533285
202.42230166573032,23.695689810029187
204.5530627358959,217.03753351908406
206.6838238060615,218.43236680726798
208.81458487622706,240.72698319461955
210.94534594639265,504.97251292149934
213.07610701655824,617.2142081359302
215.20686808672383,734.8726064938841
217.3376291568894,422.38425608314606
219.46839022705498,272.6250661306143
221.59915129722057,63.56313419788958
223.72991236738613,480.06691468842456
225.86067343755172,439.2852608847212
227.99143450771732,219.05466195827933
230.1221955778829,83.78109465391333
232.25295664804847,127.88425188801816
234.38371771821406,134.7840344588177
236.51447878837965,269.1400304801999
238.6452398585452,252.63474680472459
240.7760009287108,141.39419680758422
242.9067619988764,105.16214142608345
245.03752306904198,416.38569172300157
247.16828413920754,586.9943976981973
249.29904520937313,686.4628704320705
251.42980627953872,769.7193437092142
253.5605673497043,454.4226377727431
255.69132841986988,281.5507773737876
257.82208949003547,300.2877747273988
259.95285056020106,94.04152752621842
262.08361163036665,299.5267945794778
264.21437270053224,315.1567610302898
266.34513377069777,284.95321928739787
268.47589484086336,370.0367592166697
270.60665591102895,350.67054115076036
272.73741698119454,434.90897926498286
274.86817805136013,459.9587935185122
276.9989391215257,485.30636886086273
279.1297001916913,306.3874008819899
281.26046126185685,371.7676645281295
283.39122233202244,508.1946246932319
285.521983402188,153.91149462460234
287.6527444723536,256.93678035566967
289.7835055425192,637.879194488397
291.9142666126848,985.9792888762144
294.0450276828504,824.5853060556026
