B(T),MR(%)
33.13,1070.821665101454
33.08665270736535,1075.8266479803863
33.043418697708276,1097.13096817751
33.000297527530975,1110.1703838739418
32.95728875564765,1131.8571246366275
32.91439194316949,1151.4925371813174
32.87160665348971,1161.0365151773783
32.82893245226875,1160.920179843134
32.786368907419586,1156.8582957047388
32.74391558909314,1152.9276918716282
32.70157206966381,1151.3152673290663
32.6593379237151,1153.5782760047477
32.61721272802539,1154.3885877343132
32.57519606155382,1155.0474638866121
32.53328750542617,1152.7138306600996
32.49148664292109,1152.0427195303346
32.449793059456134,1156.6884555712982
32.40820634257416,1157.0120888142847
32.366726081929684,1153.0189827789168
32.32535186927539,1157.3708928961437
32.28408329844873,1153.3019356749317
32.242919965358666,1149.6295128543213
32.20186146797243,1146.5423261886913
32.16090740630248,1144.7105751418635
32.12005738239348,1141.5717187259365
32.07931100030944,1139.9609997511889
32.03866786612088,1144.9734312523406
31.99812758789219,1156.7524281859614
31.957689775668978,1173.9703178181785
31.917354041465625,1199.5592236102748
31.877119999252802,1220.7261335357516
31.83698726494524,1226.1382209127119
31.796955456389416,1227.4426344613487
31.757024193351526,1212.0557426435903
31.717193097505337,1196.1394543101476
31.677461792420345,1177.772700082753
31.637829903549818,1167.194168588137
31.59829705821912,1158.2207281524302
31.558862885613934,1153.4440652698668
31.51952701676877,1152.2975556344459
31.48028908455535,1150.0928937830763
31.441148723671294,1149.6367209439595
31.40210557062868,1144.7941403668974
31.363159263742894,1135.9133907779265
31.324309443121354,1131.6205359383666
31.285555750652534,1127.3379333904704
31.24689782999486,1121.546382261938
31.208335326565884,1112.7056708056919
31.169867887531336,1114.0055997865159
31.131495161794472,1115.4024385986643
31.093216799985303,1123.2311817889515
31.055032454450064,1127.5531745390658
31.01694177924061,1127.044408708377
30.978944430104068,1126.4163591072042
30.941040064472354,1128.6552798927119
30.903228341451992,1138.535933528969
30.86550892181378,1146.0104155537974
30.82788146798276,1155.311888160582
30.790345644028033,1158.1145225413902
30.752901115652875,1161.5609358960778
30.715547550184706,1168.796840865794
30.678284616565335,1169.3333406874972
30.641111985341087,1173.4887844219384
30.60402932865319,1172.5430993993473
30.567036320228034,1160.0686753760656
30.530132635367703,1150.2595579736512
30.49331795094038,1134.6657310756705
30.45659194537101,1127.1278234166602
30.41995429863183,1119.992786059884
30.383404692233196,1115.5769124180529
30.346942809214227,1116.6638686609767
30.310568334133766,1117.5383970436167
30.27428095306116,1120.3455908556991
30.238080353567362,1122.0081163383602
30.201966224715818,1119.5897541693048
30.16593825705371,1115.1395160583293
30.12999614260299,1111.4253876179841
30.094139574851717,1103.5429361291235
30.058368248745225,1105.8901690421665
30.022681860677604,1114.6771102306782
29.987080108482985,1128.1101477645343
29.95156269142711,1139.0413826979234
29.916129310198784,1148.2755301319278
29.880779666901557,1149.1425718674232
29.84551346504527,1151.1489609398272
29.810330409537865,1144.065349212502
29.775230206677072,1139.5629781070975
29.740212564142322,1128.7805108164935
29.70527719098652,1118.0024390068957
29.67042379762812,1112.820514032772
29.635652095842993,1106.3219801656264
29.6009617987566,1115.928321120664
29.566352620835993,1132.4360777609045
29.531824277882087,1148.1290381572514
29.49737648702178,1163.292279613746
29.463008966700315,1170.9787285235839
29.428721436673538,1176.107850164513
29.394513618000353,1180.775354878072
29.36038523303507,1182.8744784600544
29.32633600541999,1182.3577229566454
29.29236566007785,1185.39490855068
29.258473923204505,1186.9295463145486
29.224660522261487,1184.7795041572285
29.190925185968794,1178.9456532319375
29.15726764429752,1173.972166010498
29.12368762846277,1165.0140730322364
29.0901848709164,1159.3173801501398
29.056759105340006,1150.1867481398172
29.023410066637773,1141.11650315439
28.99013749092956,1130.7522464180624
28.956941115543845,1127.834877231601
28.92382067901092,1127.8475380243858
28.89077592105591,1122.9396909213424
28.85780658259206,1122.7196689533657
28.82491240571388,1120.0307124633189
28.792093133690496,1116.2686143224928
28.759348510958887,1114.1905113489554
28.72667828311734,1115.1578712213259
28.694082196918778,1112.9216104221368
28.661560000264295,1114.1534480616301
28.62911144219658,1119.7616737793874
