Frequency (T),Intensities (arb. units)
0.0,1.0190421053542593
2.1307610701655824,3.779265634092524
4.261522140331165,6.283032249917938
6.392283210496747,8.10628080171258
8.52304428066233,6.532095962569573
10.653805350827913,9.577086397537624
12.784566420993494,13.753284547882142
14.915327491159076,55.510640392519406
17.04608856132466,28.107730450593888
19.176849631490242,14.020127362445498
21.307610701655825,41.65237108225183
23.438371771821405,115.86831739604614
25.56913284198699,68.24180354517907
27.69989391215257,107.12915536507005
29.83065498231815,162.86848612695454
31.961416052483735,205.85424014638963
34.09217712264932,171.79378919005163
36.2229381928149,168.3002558387231
38.353699262980484,201.72665414625715
40.48446033314607,372.9833908802079
42.61522140331165,234.29815030188888
44.74598247347723,162.6013988804782
46.87674354364281,522.9823922173629
49.00750461380839,808.9993560926065
51.13826568397398,723.1465470711456
53.26902675413956,282.58297461190597
55.39978782430514,338.26514779178865
57.530548894470726,182.26251055420445
59.6613099646363,861.2846919558735
61.792071034801886,448.9733829689458
63.92283210496747,379.18542656613715
66.05359317513306,33.81707142299972
68.18435424529864,404.3761320723633
70.31511531546421,436.80468469713287
72.4458763856298,267.2203672321512
74.57663745579538,671.5093646549403
76.70739852596097,533.0130574071828
78.83815959612654,376.6391121778147
80.96892066629214,188.11565262308676
83.09968173645771,247.94029225585214
85.2304428066233,227.02627774294405
87.36120387678888,267.6065531234779
89.49196494695445,238.2511791391104
91.62272601712004,119.77611804134273
93.75348708728562,458.9386254575504
95.88424815745121,250.0991244940852
98.01500922761679,330.18000995916
100.14577029778238,449.31486039169715
102.27653136794795,237.03719996410368
104.40729243811353,434.74395721182964
106.53805350827912,444.22564975205745
108.6688145784447,232.35341828054086
110.79957564861029,226.96360911823902
112.93033671877586,201.61669711343012
115.06109778894145,548.7361942976369
117.19185885910703,273.83962553725536
119.3226199292726,131.2791435731106
121.4533809994382,157.93823801729275
123.58414206960377,187.9001122733886
125.71490313976936,342.58119753934585
127.84566420993494,316.284331913799
129.97642528010053,269.7222937312035
132.10718635026612,88.66649012986919
134.23794742043168,83.89920061963068
136.36870849059727,239.2771401130868
138.49946956076286,174.80072382320412
140.63023063092842,64.03830449838874
142.760991701094,159.47880945904495
144.8917527712596,255.33443967476157
147.0225138414252,315.36619809628667
149.15327491159076,111.70654930397379
151.28403598175635,261.75957055251564
153.41479705192194,334.7897570070345
155.5455581220875,217.38093338165788
157.6763191922531,285.93194614207584
159.80708026241868,310.0798168667739
161.93784133258427,149.06467852020165
164.06860240274983,291.5050737982206
166.19936347291542,237.41005546010544
168.330124543081,213.63678113131755
170.4608856132466,212.20672631455275
172.59164668341216,99.63030790315365
174.72240775357776,142.4675592882366
176.85316882374335,201.2312047032921
178.9839298939089,239.16789722572668
181.1146909640745,227.6260604817184
183.2454520342401,186.31742528358376
185.37621310440568,317.6157075767295
187.50697417457124,394.7021300507448
189.63773524473683,227.38223868947907
191.76849631490242,94.68705594494558
193.89925738506798,77.99204627842938
196.03001845523357,151.53870240961066
198.16077952539916,213.40572923270662
200.29154059556475,278.5899857948559
202.42230166573032,146.96838192141524
204.5530627358959,182.11600368230938
206.6838238060615,299.81571817404983
208.81458487622706,298.72520389497834
210.94534594639265,287.3361980151987
213.07610701655824,241.16652691076035
215.20686808672383,201.1377615240254
217.3376291568894,228.4112580006194
219.46839022705498,161.0440486817907
221.59915129722057,58.7779298032601
223.72991236738613,189.56282040021244
225.86067343755172,277.52575503617624
227.99143450771732,169.2615404016494
230.1221955778829,195.89753299099266
232.25295664804847,264.9571633956122
234.38371771821406,203.79987248774415
236.51447878837965,98.2999486003742
238.6452398585452,59.257030901601794
240.7760009287108,61.09455380855933
242.9067619988764,66.39197672634221
245.03752306904198,91.8771686486974
247.16828413920754,124.68020212835492
249.29904520937313,162.46591663853627
251.42980627953872,166.2426429239918
253.5605673497043,161.5840845018818
255.69132841986988,119.8562043543656
257.82208949003547,89.4206874609894
259.95285056020106,172.73544218722762
262.08361163036665,206.27599165111144
264.21437270053224,92.54915189571282
266.34513377069777,56.499087093141206
268.47589484086336,129.41290082192526
270.60665591102895,159.19823310710697
272.73741698119454,217.19431138955537
274.86817805136013,230.73787956797904
276.9989391215257,135.63631655796007
279.1297001916913,36.872977674073155
281.26046126185685,77.54694924335624
283.39122233202244,229.60658467773393
285.521983402188,288.7343908441325
287.6527444723536,179.98350210542927
289.7835055425192,41.86849149379833
291.9142666126848,158.35062735481188
294.0450276828504,169.06465834655506
296.1757887530159,94.39329785105541
298.3065498231815,45.63465702839523
300.4373108933471,89.08973037835239
302.5680719635127,150.311193194201
304.6988330336783,157.2184136368258
306.8295941038439,118.29650779740523
308.96035517400946,46.80876409505457
311.091116244175,20.00010989183463
313.2218773143406,42.63229718800341
315.3526383845062,71.80420080574865
317.48339945467177,152.4469129215881
319.61416052483736,245.05325445224184
321.74492159500295,228.25464600760793
323.87568266516854,151.05656455008636
326.0064437353341,69.68570111606324
