Frequency (T),Intensities (arb. units)
0.0,5.039369791025916
2.1307610701655824,8.035022654627086
4.261522140331165,10.289412019107457
6.392283210496747,8.38288463901789
8.52304428066233,26.31277118761481
10.653805350827913,7.229854238047375
12.784566420993494,45.77745742020658
14.915327491159076,33.18601752646819
17.04608856132466,74.38135281249934
19.176849631490242,121.1736687014151
21.307610701655825,180.0236853117803
23.438371771821405,210.78263926533134
25.56913284198699,412.9526898756922
27.69989391215257,427.9297320192036
29.83065498231815,207.16494810273906
31.961416052483735,160.58850470177256
34.09217712264932,107.3853882462757
36.2229381928149,549.0986725579145
38.353699262980484,549.5340455061499
40.48446033314607,691.808280025034
42.61522140331165,578.3955166570157
44.74598247347723,615.2935968937004
46.87674354364281,300.2501788577828
49.00750461380839,330.7192697147884
51.13826568397398,775.8999541382449
53.26902675413956,461.1773503626351
55.39978782430514,861.0227618962847
57.530548894470726,294.614809583937
59.6613099646363,414.58669150215087
61.792071034801886,604.4510185754743
63.92283210496747,887.1709492004245
66.05359317513306,289.6055115325845
68.18435424529864,376.2057660839384
70.31511531546421,544.1134898652356
72.4458763856298,228.0950468566783
74.57663745579538,556.7660001069062
76.70739852596097,218.50829158726884
78.83815959612654,112.09003678076748
80.96892066629214,419.36790306185367
83.09968173645771,494.42299129044903
85.2304428066233,984.1957897949742
87.36120387678888,2078.145067294823
89.49196494695445,1958.8809430433212
91.62272601712004,1776.6685486936797
93.75348708728562,1414.329707328277
95.88424815745121,450.2711791295047
98.01500922761679,584.0788044165371
100.14577029778238,821.0291858341619
102.27653136794795,305.51175358660686
104.40729243811353,314.62230687061896
106.53805350827912,281.9427168290164
108.6688145784447,462.58067965245715
110.79957564861029,527.442925157098
112.93033671877586,553.2227882178055
115.06109778894145,531.8884980667407
117.19185885910703,450.4149230996761
119.3226199292726,409.8669652474966
121.4533809994382,733.1811485015182
123.58414206960377,134.3644303334116
125.71490313976936,773.0999122978433
127.84566420993494,418.1604057922175
129.97642528010053,225.52353855361113
132.10718635026612,773.0712330496191
134.23794742043168,181.39273373429148
136.36870849059727,104.07840230837397
138.49946956076286,257.0471292707684
140.63023063092842,153.61968005253047
142.760991701094,265.9556661810578
144.8917527712596,198.11145727468286
147.0225138414252,154.37812334989346
149.15327491159076,445.5611014423713
151.28403598175635,716.2625297638813
153.41479705192194,495.03585850324885
155.5455581220875,170.2045498403874
157.6763191922531,229.53773252711733
159.80708026241868,451.30558987228375
161.93784133258427,384.4225072168242
164.06860240274983,521.560056418029
166.19936347291542,776.3533098462434
168.330124543081,996.5874896917749
170.4608856132466,900.9200963767028
172.59164668341216,168.03052746440588
174.72240775357776,287.3326392367833
176.85316882374335,300.74762812959654
178.9839298939089,400.83073479730234
181.1146909640745,657.0751445053188
183.2454520342401,295.2227931756086
185.37621310440568,298.54279153237417
187.50697417457124,317.7515198628239
189.63773524473683,73.35087061080996
191.76849631490242,129.02647611891928
193.89925738506798,242.99424388311243
196.03001845523357,416.56053569024095
198.16077952539916,492.3324031658903
200.29154059556475,456.0678616963628
202.42230166573032,285.2814888958547
204.5530627358959,155.3859970105912
206.6838238060615,120.70855407693038
208.81458487622706,300.7641718006081
210.94534594639265,430.2558328142635
213.07610701655824,388.27440243338754
215.20686808672383,401.5794609080743
217.3376291568894,677.4281154819818
219.46839022705498,368.6389298621311
221.59915129722057,224.90373480091827
223.72991236738613,298.4813877677929
225.86067343755172,640.7686968000565
227.99143450771732,758.1408651864782
230.1221955778829,558.5992817280845
232.25295664804847,254.59143335926143
234.38371771821406,219.11495581565114
236.51447878837965,352.86040807516235
238.6452398585452,378.1476972471855
240.7760009287108,218.52166090674083
242.9067619988764,533.6210035633793
245.03752306904198,192.00125985642674
247.16828413920754,271.9789055971988
249.29904520937313,385.28364426822736
251.42980627953872,44.918110391281
253.5605673497043,288.36849464658775
255.69132841986988,251.64723657453672
257.82208949003547,153.7212930861017
259.95285056020106,181.99451310830526
262.08361163036665,226.4258051105567
264.21437270053224,283.5554629172148
266.34513377069777,461.9726809237043
268.47589484086336,417.01132706017023
270.60665591102895,378.2800116652653
272.73741698119454,482.67335882263586
274.86817805136013,196.90895914769482
276.9989391215257,514.3085543130949
279.1297001916913,577.4892386318485
281.26046126185685,377.79375329295084
283.39122233202244,335.11230411141077
285.521983402188,395.995991298899
287.6527444723536,419.6426007449799
289.7835055425192,238.8679178787631
291.9142666126848,162.29926077095843
294.0450276828504,647.7533456214007
296.1757887530159,758.1108344727052
298.3065498231815,640.8206069252697
300.4373108933471,393.18719071099184
302.5680719635127,325.2006396285543
304.6988330336783,626.8768902953906
306.8295941038439,916.1216942003475
308.96035517400946,983.2081753186451
311.091116244175,1145.2943343592258
313.2218773143406,991.3277812403954
315.3526383845062,807.4444829977308
317.48339945467177,657.9076971987914
319.61416052483736,536.0462327282476
321.74492159500295,924.9710753727542
323.87568266516854,1146.7717984409283
326.0064437353341,1731.139786127462
328.13720480549966,1880.5606612120125
330.26796587566525,2423.5218052603504
332.39872694583084,3789.3195171028174
334.52948801599644,5252.93623106376
336.660249086162,5123.459512137711
338.7910101563276,3742.40004156463
340.9217712264932,2756.0845984644143
343.05253229665874,2036.9759085518144
345.18329336682433,1782.5632511646784
347.3140544369899,1239.7229392632184
349.4448155071555,839.4625718039879
351.5755765773211,787.9098407901445
353.7063376474867,912.5877804569734
355.8370987176523,935.6364127997723
357.9678597878178,760.4048807761324
360.0986208579834,618.7610373190638
