Frequency (T),Intensities (arb. units)
0.0,10.190574306025589
2.1307610701655824,11.190855137149166
4.261522140331165,10.119337974119624
6.392283210496747,8.703470355542414
8.52304428066233,11.881170924058184
10.653805350827913,12.368423565199388
12.784566420993494,49.78611754986962
14.915327491159076,81.25568986497358
17.04608856132466,18.636993896890143
19.176849631490242,190.43590278798092
21.307610701655825,117.70733883377865
23.438371771821405,126.81063768917694
25.56913284198699,193.85415498484838
27.69989391215257,576.7009433448111
29.83065498231815,423.94164793221904
31.961416052483735,829.4056077099311
34.09217712264932,1261.8070936381112
36.2229381928149,798.1384785252981
38.353699262980484,967.9998858033146
40.48446033314607,1650.4674418468846
42.61522140331165,578.3443558041022
44.74598247347723,1646.006583129169
46.87674354364281,1856.3241836158359
49.00750461380839,1119.7199606589363
51.13826568397398,1440.9759976512287
53.26902675413956,1913.3785928489501
55.39978782430514,1377.5193628516383
57.530548894470726,2509.16960409296
59.6613099646363,3054.643143478368
61.792071034801886,3843.169984346919
63.92283210496747,3635.1057444135854
66.05359317513306,2706.3948140732723
68.18435424529864,2378.6657937346363
70.31511531546421,1917.7000701023403
72.4458763856298,1675.0326780358057
74.57663745579538,1277.6228360948007
76.70739852596097,376.83117765506483
78.83815959612654,701.3558638872166
80.96892066629214,570.120042557086
83.09968173645771,1461.5674785888295
85.2304428066233,834.1304531085003
87.36120387678888,720.252340222064
89.49196494695445,851.0088531150288
91.62272601712004,986.9467087078922
93.75348708728562,442.7719939627726
95.88424815745121,309.43661719241055
98.01500922761679,455.8438989656921
100.14577029778238,193.92507956735977
102.27653136794795,234.300541518583
104.40729243811353,433.79701794550425
106.53805350827912,970.7021655061893
108.6688145784447,1209.8002403299067
110.79957564861029,1692.3032045984537
112.93033671877586,1857.7920513008046
115.06109778894145,1474.3824916885198
117.19185885910703,1247.338501459039
119.3226199292726,389.65746623419926
121.4533809994382,312.1076923772162
123.58414206960377,934.0277954549804
125.71490313976936,1757.126993899244
127.84566420993494,917.3463879214263
129.97642528010053,1301.8417756089113
132.10718635026612,1079.5025112783464
134.23794742043168,884.8185629005203
136.36870849059727,1095.9081730887822
138.49946956076286,1192.9030398147042
140.63023063092842,36.598814366453084
142.760991701094,761.1696664541986
144.8917527712596,973.5093642902552
147.0225138414252,1453.8936725670148
149.15327491159076,1443.0462875565086
151.28403598175635,1104.6270316843134
153.41479705192194,765.7180407792389
155.5455581220875,1044.527192877403
