B(T),MR(%)
33.13,1000.9063010814721
33.08665270736535,991.935286146793
33.043418697708276,974.3299829450366
33.000297527530975,964.3183762307096
32.95728875564765,961.8808785923575
32.91439194316949,951.4787678857518
32.87160665348971,952.5460782198263
32.82893245226875,968.2968112538451
32.786368907419586,1003.7501368663222
32.74391558909314,1036.2684400679523
32.70157206966381,1054.718290399041
32.6593379237151,1049.9853383287123
32.61721272802539,1049.1124875041405
32.57519606155382,1052.5529684705866
32.53328750542617,1059.839497450012
32.49148664292109,1059.1409338314188
32.449793059456134,1042.8204538350972
32.40820634257416,1037.2116218408325
32.366726081929684,1036.9194325161516
32.32535186927539,1042.8801072555268
32.28408329844873,1050.5436217967967
32.242919965358666,1052.1964155617843
32.20186146797243,1051.0027599435475
32.16090740630248,1053.6193754089281
32.12005738239348,1051.4834865458201
32.07931100030944,1068.490451014488
32.03866786612088,1090.1253148800922
31.99812758789219,1113.845998899717
31.957689775668978,1130.092662007672
31.917354041465625,1141.041098513166
31.877119999252802,1151.1913247338216
31.83698726494524,1160.9050392036106
31.796955456389416,1162.3266802363496
31.757024193351526,1152.7701885182037
31.717193097505337,1136.001575985154
31.677461792420345,1113.1028702828303
31.637829903549818,1104.8939513568162
31.59829705821912,1097.5227454067458
31.558862885613934,1086.9815191072205
31.51952701676877,1070.3872011770222
31.48028908455535,1043.2008155341257
31.441148723671294,1016.3446955213285
31.40210557062868,992.7562501970895
31.363159263742894,997.1123974660891
31.324309443121354,1013.5166770806592
31.285555750652534,1029.703780824323
31.24689782999486,1034.3776034504936
31.208335326565884,1027.8043380463835
31.169867887531336,1025.4803153413638
31.131495161794472,1034.332599723822
31.093216799985303,1051.2579706875622
31.055032454450064,1046.5740262852348
31.01694177924061,1030.6237509024334
30.978944430104068,1016.7477247832962
30.941040064472354,1008.4606968156645
30.903228341451992,999.0926796723945
30.86550892181378,980.5069093927287
30.82788146798276,966.6385180490786
30.790345644028033,947.5538550876565
30.752901115652875,939.2449200377897
30.715547550184706,934.8493214132218
30.678284616565335,943.7947827352737
30.641111985341087,960.0120325249119
30.60402932865319,978.57834545592
30.567036320228034,990.6014406444145
30.530132635367703,998.9576486719027
30.49331795094038,1007.6162616509109
30.45659194537101,1017.0692162925286
30.41995429863183,1032.4946668737578
30.383404692233196,1037.5689491527332
30.346942809214227,1029.0528681497901
30.310568334133766,1020.5090409989594
30.27428095306116,1011.1335629763217
30.238080353567362,1005.7778040212011
30.201966224715818,1001.9412531322214
30.16593825705371,992.1980627878479
30.12999614260299,989.8611205652326
30.094139574851717,986.6311505208164
30.058368248745225,996.0677825041103
30.022681860677604,1011.2234383219833
29.987080108482985,1041.5148439161453
29.95156269142711,1073.3660001691928
29.916129310198784,1096.78096667878
29.880779666901557,1122.0601503014716
29.84551346504527,1133.7982684899785
29.810330409537865,1142.5365195480554
29.775230206677072,1143.1748986569264
29.740212564142322,1141.7921299148488
29.70527719098652,1128.8932109298812
29.67042379762812,1114.5366115171485
29.635652095842993,1101.3909331234645
29.6009617987566,1083.7245130199053
29.566352620835993,1065.201696689443
29.531824277882087,1050.2619076960382
29.49737648702178,1041.7968192819942
29.463008966700315,1043.420944145261
29.428721436673538,1053.8914410985935
29.394513618000353,1074.7206197531514
29.36038523303507,1103.3855623387715
29.32633600541999,1138.6553781277498
29.29236566007785,1158.8083372413648
29.258473923204505,1177.9645868828661
29.224660522261487,1172.5376676055553
29.190925185968794,1162.017150256605
29.15726764429752,1149.4315449257792
29.12368762846277,1128.5605299277381
29.0901848709164,1108.338609154175
29.056759105340006,1078.1313763070177
29.023410066637773,1052.377629134863
28.99013749092956,1036.3942754194818
28.956941115543845,1017.8763071061463
28.92382067901092,1001.2917968722518
28.89077592105591,987.9691683349142
28.85780658259206,979.981233123182
28.82491240571388,980.7617759185563
28.792093133690496,988.6621436415592
28.759348510958887,1006.5131832682436
28.72667828311734,1041.5506181140715
28.694082196918778,1070.0995620934873
28.661560000264295,1086.5083511998928
28.62911144219658,1091.2942500440781
28.59673627289354,1087.1305102977587
28.564434243661807,1077.496596044154
28.53220510693045,1065.622258132689
28.500048616244577,1041.5437846780387
28.467964526259127,1020.0200398424498
28.435952592732544,1000.0392837115036
28.404012572520678,982.2842952419073
28.37214422357053,970.1881518909408
28.34034730491422,962.1664261780201
28.308621576662855,951.4242019049559
28.27696680000054,943.904421397164
28.245382737178335,946.7764733600197
28.21386915150838,953.7219081099418
28.18242580735788,976.1322089834903
28.15105247014334,997.0017370717819
28.119748906324634,1021.6609628480608
28.088514883399295,1033.5988224805906
28.05735016989668,1046.271839298776
28.026254535372328,1055.5142461387493
27.995227750402204,1070.760476977691
27.964269586577142,1074.49778299942
27.933379816497144,1074.950474737595
27.902558213765907,1063.3965707093614
27.871804552985207,1047.451916256494
27.841118609749476,1038.652279883791
27.810500160640284,1030.8197403633758
27.779948983220976,1025.823408807329
27.74946485603122,1025.7037104550964
27.719047558581725,1024.984012861998
27.68869687134885,1028.6905569151827
27.658412575769407,1043.3826026909992
27.62819445423533,1069.6700901462525
27.598042290088543,1098.0233012350095
27.567955867615698,1134.6846440576455
27.53793497204312,1156.21030984292
27.50797938953161,1161.2025499814836
27.478088907171447,1153.4941280048274
27.44826331297727,1146.9796463219184
27.41850239588315,1138.1660430109184
27.3888059457375,1128.4351319967434
27.359173753298254,1118.0408320017088
27.329605610227848,1103.1028170052255
27.30010130908841,1084.8798412129036
27.270660643336853,1063.0285131404676
27.241283407320108,1050.3387119585063
27.21196939627028,1041.7179006512674
27.18271840629995,1035.4133386386022
27.153530234397387,1032.1284953169416
27.12440467842191,1031.0910793520077
27.09534153709917,1033.6194233275169
27.06634061001656,1035.0110142281405
27.037401697618556,1038.1015079570598
27.008524601202204,1041.0964388205093
26.9797091229125,1037.7836453336568
26.950955065737947,1031.623047707165
26.922262233505986,1030.8064838170928
26.893630430878616,1023.3229142990585
26.865059463347887,1018.7661061555232
26.836549137231554,1015.2589137823161
26.808099259668648,1009.8013536640344
26.779709638615188,1003.3147325077429
26.751380082839795,995.6672104981444
26.723110401919456,987.4336210973556
26.694900406235202,982.5566923766452
26.666749906967937,975.553992558474
26.638658716094135,970.2568185138186
26.610626646381753,976.2347500031556
26.582653511385985,988.6629789473873
26.554739125445202,1007.3447361248448
26.52688330367677,1022.9278764838143
26.49908586197304,1036.2781243873367
26.471346616997227,1039.8981608857466
26.44366538617945,1037.4241208928308
26.416041987712646,1031.434806294365
26.38847624054867,1029.5335039621118
26.36096796439426,1027.6349503129034
26.333516979707195,1027.2495683064894
26.30612310769229,1023.5316240229088
26.27878617029761,1016.07017154017
26.251505990210536,1001.1744263524697
26.22428239085399,990.5656738459367
26.197115196382562,981.8105301934728
26.170004231678803,977.482037039917
26.142949322349377,977.3179638670598
26.115950294721408,981.9659813058205
26.08900697583867,997.4043090207547
26.062119193458,1021.5960152528878
26.035286776045513,1053.1228132402541
26.008509552773067,1074.3487631151897
25.98178735351453,1089.578842741404
25.955120008842286,1096.0758859130312
25.92850735002354,1098.7206593949245
25.901949209016877,1100.625559577323
25.875445418468612,1098.768023899772
25.848995811709372,1095.795447369173
25.822600222750523,1079.8949725077407
25.79625848628077,1064.3141565500284
25.769970437662625,1049.9928501793418
25.743735912929072,1036.9101713525474
25.717554748780064,1030.5816351502926
25.691426782579207,1025.336295039498
25.665351852350337,1022.2520776471059
25.639329796774238,1029.3804278221378
25.61336045518523,1052.891958906045
25.587443667567953,1080.4261448701527
25.561579274553996,1106.0815548563403
25.53576711741871,1124.2950665773863
25.510007038077884,1134.471191360832
25.484298879084587,1137.8118799326069
25.458642483625905,1130.3359373458252
25.4330376955198,1121.3985540773544
25.407484359211885,1108.8363983013278
25.381982319772344,1091.5177046084468
25.35653142289273,1072.7782375006896
25.33113151488291,1048.2421888269628
25.305782442667923,1029.0517730283552
25.28048405378496,1013.4823800404608
25.255236196380242,1000.7021661867437
25.230038719206046,990.0013661853258
